,team_points,opponent_points,win_rate,avg_reward
0,76.0,81.0,48.40764331210191,0.23148316651501366
1,93.0,221.0,29.617834394904456,0.1773825261386851
2,131.0,340.0,27.81316348195329,0.13779492240064578
3,200.0,428.0,31.84713375796178,0.1885826537293884
4,307.0,478.0,39.10828025477707,0.1871082802547768
5,366.0,576.0,38.853503184713375,0.19259721170549185
6,433.0,666.0,39.39945404913558,0.2004056506422802
7,505.0,751.0,40.20700636942675,0.2084774806815611
8,536.0,877.0,37.933474876150036,0.19973337283365447
9,598.0,972.0,38.089171974522294,0.17646611008196528
10,671.0,1056.0,38.853503184713375,0.17431866076291064
11,761.0,1123.0,40.3927813163482,0.1860671563949489
12,771.0,1270.0,37.77560019598236,0.1700617223087691
13,823.0,1375.0,37.44313011828935,0.17012533388124085
14,823.0,1532.0,34.94692144373673,0.16159537285098366
15,943.0,1569.0,37.539808917197455,0.18472950092719484
16,1015.0,1654.0,38.02922442862495,0.18488302154500993
17,1042.0,1784.0,36.87190375088464,0.18271831173245434
18,1076.0,1907.0,36.07106939322829,0.17512513809517294
19,1097.0,2043.0,34.93630573248407,0.17303828222470286
20,1185.0,2112.0,35.9417652411283,0.17507692697319266
21,1254.0,2200.0,36.30573248407643,0.172600829561703
22,1336.0,2275.0,36.99806147881473,0.17415865247172627
23,1389.0,2379.0,36.86305732484077,0.1710551093879811
24,1439.0,2486.0,36.66242038216561,0.1696915362723739
25,1459.0,2623.0,35.742283194512495,0.1672658045831519
26,1519.0,2720.0,35.83392309506959,0.16846001634196037
27,1608.0,2788.0,36.578707916287534,0.17927651518683949
28,1691.0,2862.0,37.14034702394026,0.17976139636733682
29,1691.0,3019.0,35.90233545647558,0.17526111106189585
30,1772.0,3095.0,36.40846517361824,0.18040241278947144
31,1814.0,3210.0,36.10668789808918,0.17768475869513262
32,1886.0,3295.0,36.402238950009654,0.1810817557393283
33,2010.0,3328.0,37.65455226676658,0.1908825545483252
34,2098.0,3397.0,38.180163785259325,0.19148984283722142
35,2129.0,3523.0,37.668082094833686,0.1894295562066851
36,2196.0,3613.0,37.80340850404545,0.18873057820791642
37,2245.0,3721.0,37.629902782433795,0.18881842618897093
38,2308.0,3815.0,37.69394087865425,0.19015634047481142
39,2368.0,3912.0,37.70700636942676,0.19186996136362086
40,2429.0,4008.0,37.734969706384966,0.1927830337534531
41,2432.0,4162.0,36.88201395207765,0.1893750118596571
42,2497.0,4254.0,36.987113020293286,0.1894583849869615
43,2499.0,4409.0,36.17544875506659,0.18634025105506716
44,2558.0,4507.0,36.206652512385,0.1861950496744446
45,2633.0,4589.0,36.45804486291886,0.1862843106452254
46,2748.0,4631.0,37.24081853909744,0.18768727407648894
47,2748.0,4788.0,36.46496815286624,0.18475211253576193
48,2784.0,4909.0,36.188743013128814,0.18054400377765475
49,2825.0,5025.0,35.98726114649681,0.1795808335756004
50,2898.0,5109.0,36.19333083551892,0.181166703990917
51,2915.0,5249.0,35.705536501714846,0.1776255546055659
52,3018.0,5303.0,36.26967912510516,0.179830314880118
53,3020.0,5458.0,35.621608870016516,0.17746846027100788
54,3075.0,5560.0,35.610885929357266,0.17908090751171218
55,3109.0,5683.0,35.36169244767971,0.17801343764902514
56,3202.0,5747.0,35.7805341378925,0.180785484975701
57,3302.0,5804.0,36.26180540303097,0.1817942443626259
58,3330.0,5933.0,35.94947641152974,0.18143677413860312
59,3337.0,6083.0,35.424628450106155,0.17916723839538223
60,3410.0,6167.0,35.606139709721205,0.17999352261686266
61,3497.0,6237.0,35.92562153277173,0.18246509187247462
62,3613.0,6278.0,36.528156910322515,0.1834445488919891
63,3746.0,6302.0,37.28105095541402,0.18703140246789485
64,3823.0,6382.0,37.462028417442426,0.18821757798986521
65,3947.0,6415.0,38.09110210384096,0.19054363439570862
66,4009.0,6510.0,38.11198783154292,0.19065004347261577
67,4084.0,6592.0,38.254027725739974,0.19073262025843407
68,4173.0,6660.0,38.52118526723899,0.19344584062962986
69,4235.0,6755.0,38.53503184713376,0.1921600681012622
70,4351.0,6796.0,39.03292365658922,0.19316246324255545
71,4390.0,6914.0,38.83581033262562,0.19232939562364607
72,4440.0,7021.0,38.74007503708228,0.19328663142948954
73,4464.0,7154.0,38.42313651230849,0.1919053562551627
74,4587.0,7188.0,38.955414012738856,0.19484993432303085
75,4667.0,7265.0,39.11330874958096,0.19527586386434956
76,4767.0,7322.0,39.43254198031268,0.19697443635901085
77,4767.0,7479.0,38.92699657030867,0.19507943910916467
78,4816.0,7587.0,38.82931548818834,0.19258581357987098
79,4826.0,7734.0,38.42356687898089,0.19078501116717608
80,4865.0,7852.0,38.255877958638045,0.19019770464610763
81,4917.0,7957.0,38.19325772875563,0.19142396436468168
82,4949.0,8082.0,37.97866625738624,0.1909169486714137
83,4963.0,8225.0,37.632696390658175,0.18947701158508531
84,5042.0,8303.0,37.78194080179843,0.1924368103798974
85,5090.0,8412.0,37.69811879721523,0.19201866805404508
86,5182.0,8477.0,37.938355662932864,0.1912903353791583
87,5263.0,8553.0,38.09351476548929,0.19115480737209273
88,5311.0,8662.0,38.00901739068203,0.19030335845205842
89,5351.0,8779.0,37.869780608634116,0.18946020657121734
90,5446.0,8841.0,38.11856932876041,0.1910769989698637
91,5509.0,8935.0,38.14040432013292,0.19030569218946403
92,5536.0,9065.0,37.915211286898156,0.18944976260966512
93,5568.0,9190.0,37.72868952432579,0.18778991849268956
94,5647.0,9268.0,37.86121354341267,0.18861308171542351
95,5752.0,9320.0,38.163481953290876,0.1902033072342627
