,team_points,opponent_points,win_rate,avg_reward,policy_loss,value_loss,total_loss
8751,55799.0,62265.0,47.26165469575823,0.2210638809083354,-0.7811950445175171,0.0612956881523132,-0.3293018341064453
8752,55876.0,62345.0,47.26402246639768,0.2211602007227662,-0.628868579864502,0.0987872332334518,-0.2156470566987991
8753,55989.0,62389.0,47.2967950125868,0.2213241245687768,-0.8714929819107056,0.0647852644324302,-0.3709612190723419
8754,56015.0,62520.0,47.25608470072131,0.2211717988139667,-0.7248557209968567,0.0660836547613143,-0.2963442206382751
8755,56025.0,62667.0,47.20200181983621,0.2209734343332548,-0.7204080820083618,0.1856349408626556,-0.1745691001415252
8756,56095.0,62754.0,47.19854605423689,0.2207937134714457,-0.8440912961959839,0.0573538914322853,-0.3646917641162872
8757,56183.0,62823.0,47.21022469455322,0.2208882334842741,-0.6840828657150269,0.1354054063558578,-0.2066360265016555
8758,56298.0,62865.0,47.24453060094157,0.2209608865095064,-0.6992153525352478,0.0604067593812942,-0.2892009019851684
8759,56436.0,62884.0,47.29802212537714,0.221239775012762,-0.6479347348213196,0.1839961558580398,-0.1399712115526199
8760,56479.0,62998.0,47.27185985587184,0.2211807757598471,-0.6964871287345886,0.1032642871141433,-0.2449792772531509
8761,56597.0,63037.0,47.30845746192554,0.2213350544172005,-0.6683790683746338,0.1145017966628074,-0.2196877300739288
8762,56698.0,63093.0,47.33076775383793,0.2213938070247564,-0.5743497610092163,0.0384659208357334,-0.248708963394165
8763,56758.0,63190.0,47.318838163204056,0.2214487954139828,-0.7883453965187073,0.101970300078392,-0.2922024130821228
8764,56882.0,63223.0,47.36022646850672,0.2216049817458778,-0.7183673977851868,0.1643663644790649,-0.1948173344135284
8765,57015.0,63247.0,47.40899037102327,0.2219843040981414,-0.6560313701629639,0.1044396013021469,-0.223576083779335
8766,57098.0,63321.0,47.41610543186706,0.2218849116917858,-0.6934831142425537,0.1057061925530433,-0.2410353720188141
8767,57194.0,63382.0,47.43398354564756,0.2218804029627437,-0.6868928074836731,0.1846217662096023,-0.1588246375322342
8768,57338.0,63395.0,47.49157231245807,0.2221818295951546,-0.6844626069068909,0.0439833365380764,-0.2982479631900787
8769,57392.0,63498.0,47.474563652907605,0.2221198458381625,-0.623537003993988,0.0657210350036621,-0.2460474669933319
8770,57423.0,63624.0,47.43859823043942,0.2220318206274672,-0.685753583908081,0.1377184987068176,-0.2051582932472229
8771,57526.0,63678.0,47.4621299627075,0.2221723665345853,-0.8685379028320312,0.1546705067157745,-0.2795984447002411
8772,57623.0,63738.0,47.48065688318323,0.2221895766838527,-0.685350775718689,0.0702300667762756,-0.2724453210830688
8773,57665.0,63853.0,47.453875146068896,0.2221127980043013,-0.6083360314369202,0.3301052749156952,0.0259372591972351
8774,57764.0,63911.0,47.47400862954592,0.2223566844756883,-0.6773046255111694,0.1237994208931922,-0.214852899312973
8775,57804.0,64028.0,47.44566288003152,0.22227996688951,-0.6967124342918396,0.0788847953081131,-0.2694714069366455
