,episode,team_points,opponent_points,win_rate,avg_reward,policy_loss,value_loss,total_loss
0,1,84.0,73.0,100.0,0.0277777777777777,,,
1,2,144.0,170.0,50.0,-0.0428571428571428,,,
2,3,224.0,247.0,33.33333333333333,-0.0188679245283018,,,
3,4,320.0,308.0,50.0,-0.0070422535211267,-0.3430469632148742,0.3671753406524658,0.1956518590450287
4,5,376.0,409.0,40.0,-0.0449438202247191,-0.2511275708675384,0.2128332257270813,0.087269440293312
5,6,430.0,512.0,33.33333333333333,-0.0566037735849056,-0.3679580092430115,0.5744847059249878,0.390505701303482
6,7,468.0,631.0,28.57142857142857,-0.0766129032258064,-0.4090200960636139,0.7142699360847473,0.5097599029541016
7,8,574.0,682.0,25.0,-0.0528169014084507,-0.3107307553291321,0.2661631405353546,0.1107977628707885
8,9,606.0,807.0,22.22222222222222,-0.0660377358490566,-0.4218553900718689,0.2991349995136261,0.0882073044776916
9,10,663.0,907.0,20.0,-0.0710227272727272,-0.4849434792995453,0.2072490751743316,-0.0352226644754409
10,11,690.0,1037.0,18.181818181818183,-0.0824742268041237,-0.3616743683815002,0.1697239875793457,-0.0111131966114044
11,12,779.0,1105.0,16.666666666666664,-0.0731132075471698,-0.4530640542507171,0.1615801751613617,-0.0649518519639968
12,13,833.0,1208.0,15.384615384615383,-0.0764192139737991,-0.34368696808815,0.073004812002182,-0.098838672041893
13,14,961.0,1237.0,14.285714285714285,-0.0627530364372469,-0.4374281764030456,0.1476927995681762,-0.0710212886333465
14,15,1118.0,1237.0,13.333333333333334,-0.0509433962264151,-0.4999221265316009,0.1015160903334617,-0.1484449803829193
15,16,1131.0,1381.0,12.5,-0.0585106382978723,-0.4063079953193664,0.1068502739071846,-0.0963037237524986
16,17,1186.0,1483.0,11.76470588235294,-0.0618729096989966,-0.4896822869777679,0.2359294593334198,-0.0089116841554641
17,18,1321.0,1505.0,11.11111111111111,-0.0520504731861198,-0.4529669880867004,0.2500730156898498,0.0235895216464996
18,19,1439.0,1544.0,10.526315789473683,-0.0432835820895522,-0.5311673283576965,0.0712262541055679,-0.1943574100732803
19,20,1496.0,1644.0,10.0,-0.0509915014164305,-0.5424851179122925,0.1476065963506698,-0.1236359626054763
20,21,1634.0,1663.0,9.523809523809524,-0.0431266846361186,-0.5164657235145569,0.0670541301369667,-0.1911787390708923
21,22,1702.0,1752.0,9.090909090909092,-0.0463917525773195,-0.4976934194564819,0.0722793638706207,-0.1765673458576202
22,23,1787.0,1824.0,8.695652173913043,-0.043103448275862,-0.6251749396324158,0.0654124915599823,-0.2471749782562255
23,24,1905.0,1863.0,12.5,-0.0365566037735849,-0.4530906677246094,0.2272706627845764,0.0007253289222717
24,25,1996.0,1929.0,16.0,-0.0306122448979591,-0.5100723505020142,0.1040659844875335,-0.1509701907634735
25,26,2064.0,2018.0,19.23076923076924,-0.037037037037037,-0.421653687953949,0.0763216316699981,-0.1345052123069763
26,27,2139.0,2100.0,22.22222222222222,-0.0399159663865546,-0.5474620461463928,0.0372979454696178,-0.2364330738782882
27,28,2209.0,2187.0,25.0,-0.0455465587044534,-0.5153601169586182,0.2869937419891357,0.0293136835098266
28,29,2326.0,2227.0,27.58620689655172,-0.0401174168297455,-0.5160329341888428,0.0567460842430591,-0.2012703865766525
29,30,2393.0,2317.0,30.0,-0.0453686200378071,-0.4530376195907593,0.1865724325180053,-0.0399463772773742
30,31,2420.0,2447.0,29.03225806451613,-0.0494505494505494,-0.4999511539936065,0.1531196385622024,-0.0968559384346008
31,32,2533.0,2491.0,31.25,-0.0444049733570159,-0.4894709289073944,0.103958748281002,-0.1407767236232757
32,33,2628.0,2553.0,33.33333333333333,-0.0396551724137931,-0.4998958706855774,0.1617000550031662,-0.0882478803396225
33,34,2701.0,2637.0,35.294117647058826,-0.044314381270903,-0.4687161445617676,0.0723774805665016,-0.1619805991649627
34,35,2745.0,2750.0,34.285714285714285,-0.0487012987012987,-0.529506266117096,0.1159151792526245,-0.1488379538059234
35,36,2776.0,2876.0,33.33333333333333,-0.0521327014218009,-0.4997692108154297,0.1510266661643982,-0.0988579392433166
36,37,2866.0,2943.0,32.432432432432435,-0.0476923076923076,-0.517668604850769,0.0402532890439033,-0.2185810208320617
37,38,2929.0,3037.0,31.57894736842105,-0.0516467065868263,-0.4377490878105163,0.1727105975151062,-0.0461639463901519
38,39,3051.0,3072.0,30.76923076923077,-0.0474452554744525,-0.5310935974121094,0.1828373670578003,-0.0827094316482544
39,40,3145.0,3135.0,32.5,-0.0455192034139402,-0.5308372974395752,0.1483752727508545,-0.1170433759689331
40,41,3192.0,3245.0,31.70731707317073,-0.0486111111111111,-0.5467371344566345,0.0444083772599697,-0.2289601862430572
41,42,3287.0,3307.0,30.95238095238096,-0.044776119402985,-0.5625009536743164,0.1272774934768676,-0.1539729833602905
42,43,3325.0,3426.0,30.23255813953488,-0.0477453580901856,-0.4215942621231079,0.0939954221248626,-0.1168017089366912
