,episode,team_points,opponent_points,win,total_wins,win_rate,reward,avg_reward,policy_loss,value_loss,total_loss,epsilon,rewards
0,1,87.0,70.0,1,1,100.0,,0.2825,,,,0.994009,5.085
1,2,146.0,168.0,0,1,50.0,,0.14125,-0.018031468614935875,6.101098537445068,6.092082977294922,0.991026973,5.085
2,3,281.0,190.0,1,2,66.66666666666666,,0.1936363636363636,-0.02672440931200981,1.7594239711761475,1.7460618019104004,0.988053892081,10.649999999999999
3,4,377.0,251.0,1,3,75.0,,0.2167808219178082,-0.07139026373624802,1.9075101613998413,1.8718150854110718,0.985089730404757,15.825
4,5,444.0,341.0,0,3,60.0,,0.09736363636363636,-0.10104413330554962,4.527414321899414,4.476892471313477,0.9821344612135428,10.709999999999999
5,6,573.0,369.0,1,4,66.66666666666666,,0.1266796875,-0.0005469407187774777,2.7312397956848145,2.730966329574585,0.9791880578299021,16.215
6,7,626.0,473.0,0,4,57.14285714285714,,0.07506849315068494,-0.12192372977733612,3.7053685188293457,3.64440655708313,0.9762504936564125,10.96
7,8,697.0,559.0,0,4,50.0,,0.07506849315068494,-0.09395439177751541,0.689371645450592,0.6423944234848022,0.9733217421754432,10.96
8,9,778.0,635.0,1,5,55.55555555555556,,0.09746951219512195,-0.028826037421822548,0.6849814057350159,0.6705684065818787,0.9704017769489168,15.985000000000001
9,10,872.0,698.0,1,6,60.0,,0.10517412935323384,-0.14936164021492004,0.34829938411712646,0.27361857891082764,0.9674905716180701,21.14
10,11,895.0,832.0,0,6,54.54545454545454,,0.0708409090909091,-0.06049957126379013,1.0223095417022705,0.9920597672462463,0.9645880999032158,15.585
11,12,1023.0,861.0,1,7,58.333333333333336,,0.08820083682008369,-0.16709159314632416,0.25110799074172974,0.16756218671798706,0.9616943356035061,21.080000000000002
12,13,1101.0,940.0,0,7,53.84615384615385,,0.06230620155038761,-0.11833658814430237,1.7838793992996216,1.7247110605239868,0.9588092525966956,16.075000000000003
13,14,1177.0,1021.0,0,7,50.0,,0.03989169675090254,-0.05214309319853783,0.2779286801815033,0.25185713171958923,0.9559328248389055,11.050000000000002
14,15,1257.0,1098.0,1,8,53.333333333333336,,0.05116242038216561,-0.11511614173650742,2.1168768405914307,2.059318780899048,0.9530650263643888,16.065
15,16,1347.0,1165.0,1,9,56.25,,0.0636036036036036,-0.0873129740357399,2.30928111076355,2.265624523162842,0.9502058312852957,21.18
16,17,1454.0,1215.0,1,10,58.82352941176471,,0.0753988603988604,-0.06379144638776779,0.15727519989013672,0.12537947297096252,0.9473552137914398,26.465
17,18,1524.0,1302.0,0,10,55.55555555555556,,0.05778378378378378,-0.0936601385474205,0.661677896976471,0.6148478388786316,0.9445131481500655,21.38
18,19,1550.0,1433.0,0,10,52.63157894736842,,0.04075835475578406,-0.1002538651227951,1.4773629903793335,1.4272360801696777,0.9416796087056153,15.854999999999999
19,20,1695.0,1445.0,1,11,55.00000000000001,,0.05051643192488263,-0.03750777989625931,0.10849607735872269,0.08974218368530273,0.9388545698794984,21.52
20,21,1720.0,1577.0,0,11,52.38095238095239,,0.03600225225225225,-0.031064750626683235,0.5546950101852417,0.5391626358032227,0.93603800616986,15.985
21,22,1847.0,1607.0,1,12,54.54545454545454,,0.046371490280777534,-0.16016006469726562,0.362356036901474,0.2822760045528412,0.9332298921513504,21.47
22,23,1888.0,1723.0,0,12,52.17391304347826,,0.03339211618257261,-0.07034416496753693,1.4303946495056152,1.395222544670105,0.9304302024748964,16.095
23,24,1923.0,1845.0,0,12,50.0,,0.02132,-0.10660694539546967,3.2685329914093018,3.2152295112609863,0.9276389118674717,10.66
24,25,1964.0,1961.0,0,12,48.0,,0.00984171322160149,-0.09497983753681183,0.9950146675109863,0.9475247263908386,0.9248559951318693,5.285
25,26,2029.0,2053.0,0,12,46.15384615384615,,0.00953971119133574,-0.1092008724808693,0.28535449504852295,0.2307540625333786,0.9220814271464737,5.285
26,27,2094.0,2145.0,0,12,44.44444444444444,,0.00953971119133574,-0.11128225922584534,0.3098601698875427,0.25421905517578125,0.9193151828650342,5.285
27,28,2173.0,2223.0,1,13,46.42857142857143,,0.01795811518324607,-0.08990730345249176,0.18221673369407654,0.13726308941841125,0.9165572373164391,10.29
28,29,2269.0,2284.0,1,14,48.275862068965516,,0.02616751269035533,-0.0737438052892685,1.5898430347442627,1.5529711246490479,0.9138075656044898,15.465
29,30,2339.0,2371.0,0,14,46.666666666666664,,0.016528662420382163,-0.16085706651210785,0.6101958155632019,0.5297672748565674,0.9110661429076764,10.379999999999999
30,31,2405.0,2462.0,0,14,45.16129032258064,,0.016528662420382163,-0.12710703909397125,0.259791761636734,0.19623824954032898,0.9083329444789534,10.379999999999999
31,32,2463.0,2561.0,0,14,43.75,,0.016528662420382163,-0.23957037925720215,0.10399394482374191,-0.01579124480485916,0.9056079456455165,10.379999999999999
32,33,2531.0,2650.0,0,14,42.42424242424242,,0.016528662420382163,-0.05892983078956604,0.07885211706161499,0.04938720166683197,0.90289112180858,10.379999999999999
33,34,2589.0,2749.0,0,14,41.17647058823529,,0.016528662420382163,-0.08174099028110504,0.6959336996078491,0.6550632119178772,0.9001824484431542,10.379999999999999
