,episode,team_points,opponent_points,win,total_wins,win_rate,reward,avg_reward,policy_loss,value_loss,total_loss,rewards
44,45,3464.0,3601.0,0,35,77.77777777777779,,0.01790711700844392,-0.16872140765190125,0.631373941898346,0.5470132231712341,14.84500000000001
45,46,3556.0,3666.0,0,35,76.08695652173914,,0.023561320754716994,-0.035262931138277054,0.33268919587135315,0.3150577247142792,19.98000000000001
46,47,3587.0,3792.0,0,35,74.46808510638297,,0.016730103806228386,-0.14403323829174042,0.34037598967552185,0.26835936307907104,14.505000000000011
47,48,3628.0,3908.0,0,35,72.91666666666666,,0.010304740406320555,-0.06417147815227509,0.5211808681488037,0.48909512162208557,9.130000000000011
48,49,3628.0,4065.0,0,35,71.42857142857143,,0.0037002212389380656,-0.07476499676704407,1.2513614892959595,1.2139790058135986,3.3450000000000113
49,50,3732.0,4118.0,0,35,70.0,,0.00913921360255049,-0.05992603674530983,0.3968067467212677,0.36684373021125793,8.600000000000012
50,51,3765.0,4242.0,0,35,68.62745098039215,,0.0032760416666666793,-0.04942705109715462,0.32596343755722046,0.3012499213218689,3.145000000000012
51,52,3879.0,4285.0,0,35,67.3076923076923,,0.008691206543967293,-0.09631611406803131,0.4422321319580078,0.39407408237457275,8.500000000000012
52,53,3902.0,4419.0,0,35,66.0377358490566,,0.0029538615847542757,-0.06966013461351395,0.8741157650947571,0.839285671710968,2.9450000000000127
53,54,3932.0,4546.0,0,35,64.81481481481481,,-0.002499999999999988,-0.0866943821310997,0.79435795545578,0.7510107755661011,-2.5399999999999876
54,55,3963.0,4672.0,0,35,63.63636363636363,,-0.007611585944919265,-0.024385565891861916,0.4672735631465912,0.4550807774066925,-8.014999999999986
55,56,4049.0,4743.0,0,35,62.5,,-0.002742537313432823,-0.05890036001801491,0.3896951377391815,0.3602449595928192,-2.939999999999986
56,57,4126.0,4823.0,0,35,61.40350877192983,,-0.007298165137614666,-0.13056010007858276,0.8480609655380249,0.7827808856964111,-7.954999999999986
57,58,4268.0,4838.0,0,35,60.3448275862069,,-0.002093862815884464,-0.08749277889728546,1.0355913639068604,0.9918449521064758,-2.319999999999986
58,59,4360.0,4903.0,0,35,59.32203389830508,,0.002497781721384218,-0.03737563267350197,0.5422523021697998,0.5235644578933716,2.8150000000000137
59,60,4465.0,4955.0,0,35,58.333333333333336,,0.006941580756013756,-0.054128289222717285,0.3419361114501953,0.31487196683883667,8.080000000000013
60,61,4552.0,5025.0,0,35,57.377049180327866,,0.011128486897717678,-0.03613666445016861,0.19662687182426453,0.17855854332447052,13.165000000000013
61,62,4629.0,5105.0,0,35,56.451612903225815,,0.00678601165695255,-0.05189868062734604,1.6538357734680176,1.627886414527893,8.150000000000013
62,63,4675.0,5216.0,0,35,55.55555555555556,,0.0023155737704918136,-0.11915437877178192,0.20363683998584747,0.1440596580505371,2.8250000000000126
63,64,4731.0,5317.0,0,35,54.6875,,-0.0019370460048426046,-0.09513840079307556,0.17157474160194397,0.12400554120540619,-2.399999999999987
64,65,4831.0,5374.0,0,35,53.84615384615385,,0.002206112852664587,-0.20212148129940033,0.15486033260822296,0.0537995919585228,2.815000000000013
65,66,4916.0,5446.0,0,35,53.03030303030303,,0.006089644513137568,-0.10423178970813751,0.14988335967063904,0.09776746481657028,7.880000000000013
