,episode,team_points,opponent_points,win,total_wins,win_rate,reward,avg_reward,policy_loss,value_loss,total_loss,rewards
0,1,119.0,38.0,1,1,100.0,,0.1652941176470588,,,,2.81
1,2,189.0,125.0,1,2,100.0,,0.0182857142857142,-0.5115117430686951,1.4382171630859375,1.1824612617492676,0.6400000000000001
2,3,323.0,148.0,1,3,100.0,,0.0721153846153846,-0.5231180191040039,0.6887144446372986,0.4271554350852966,3.75
3,4,426.0,202.0,1,4,100.0,,0.0904347826086956,-0.471513956785202,0.2550012469291687,0.0192442685365676,6.24
4,5,500.0,285.0,1,5,100.0,,0.0395238095238095,-0.313681423664093,0.2367879897356033,0.0799472779035568,4.15
5,6,548.0,394.0,1,6,100.0,,0.012520325203252,-0.2816115617752075,0.2741577923297882,0.1333520114421844,1.5400000000000005
6,7,573.0,526.0,1,7,100.0,,-0.0108510638297872,-0.4682806432247162,0.1181877180933952,-0.1159526035189628,-1.5299999999999998
7,8,585.0,671.0,0,7,87.5,,-0.030759493670886,-0.4983115494251251,0.0441015511751174,-0.205054223537445,-4.859999999999999
8,9,639.0,774.0,0,7,77.77777777777779,,-0.0419999999999999,-0.5776966214179993,0.0274769570678472,-0.2613713443279266,-7.35
9,10,735.0,835.0,0,7,70.0,,-0.0236966824644549,-0.4113897979259491,0.1892752349376678,-0.0164196640253067,-5.0
10,11,892.0,835.0,1,8,72.72727272727273,,-0.0062445414847161,-0.5910604000091553,0.0923834219574928,-0.2031467854976654,-1.4299999999999995
11,12,994.0,890.0,1,9,75.0,,0.0042276422764227,-0.5330325365066528,0.0822163894772529,-0.184299886226654,1.04
12,13,1133.0,908.0,1,10,76.92307692307693,,0.0160984848484848,-0.6244003176689148,0.1612077355384826,-0.1509924232959747,4.25
13,14,1203.0,995.0,1,11,78.57142857142857,,0.0073758865248226,-0.6203024387359619,0.3251178562641144,0.0149666368961334,2.08
14,15,1335.0,1020.0,1,12,80.0,,0.0161949685534591,-0.6551347374916077,0.1957900524139404,-0.1317773163318634,5.15
15,16,1367.0,1145.0,1,13,81.25,,0.0066268656716417,-0.5842936635017395,0.1084492728114128,-0.1836975514888763,2.22
16,17,1445.0,1224.0,1,14,82.35294117647058,,0.0005949008498583,-0.6834192276000977,0.285348504781723,-0.0563611090183258,0.2100000000000004
17,18,1501.0,1325.0,1,15,83.33333333333334,,-0.006054054054054,-0.9043192267417908,0.0922416150569915,-0.3599179983139038,-2.24
18,19,1548.0,1435.0,1,16,84.21052631578947,,-0.0125839793281653,-0.6541619896888733,0.4602702856063843,0.1331892907619476,-4.869999999999999
19,20,1634.0,1506.0,1,17,85.0,,-0.0064302600472813,-0.6881386041641235,0.3818470537662506,0.0377777516841888,-2.72
