,episode,team_points,opponent_points,win,total_wins,win_rate,reward,avg_reward,policy_loss,value_loss,total_loss,rewards
0,1,97.0,60.0,1,1,100.0,,0.1316666666666666,,,,2.37
1,2,177.0,137.0,1,2,100.0,,0.1222222222222222,-0.6153232455253601,1.0515751838684082,0.7439135313034058,4.4
2,3,183.0,288.0,0,2,66.66666666666666,,0.0175925925925925,-0.5906734466552734,0.4228767156600952,0.1275399923324585,0.9500000000000002
3,4,183.0,445.0,0,2,50.0,,-0.0369014084507042,-0.4718378782272339,0.0942016914486885,-0.141717255115509,-2.62
4,5,302.0,483.0,0,2,40.0,,0.0021348314606741,-0.5296599864959717,0.092616818845272,-0.1722131669521331,0.1899999999999999
5,6,399.0,543.0,0,2,33.33333333333333,,0.0239252336448598,-0.571088969707489,0.0799113661050796,-0.2056331187486648,2.56
6,7,477.0,622.0,0,2,28.57142857142857,,0.0044,-0.5962660312652588,0.1427441537380218,-0.1553888618946075,0.5500000000000003
7,8,508.0,748.0,0,2,25.0,,-0.0167832167832167,-0.6248787045478821,0.1642652750015258,-0.1481740772724151,-2.4
8,9,640.0,773.0,0,2,22.22222222222222,,0.0041614906832298,-0.7009144425392151,0.22579225897789,-0.1246649622917175,0.6700000000000004
9,10,699.0,871.0,0,2,20.0,,-0.008730964467005,-0.3148844242095947,0.165836676955223,0.0083944648504257,-1.7199999999999998
10,11,801.0,926.0,0,2,18.181818181818183,,0.0034883720930232,-0.4983008503913879,0.1295383870601654,-0.1196120381355285,0.75
11,12,915.0,969.0,0,2,16.666666666666664,,0.0149137931034482,-0.6197875738143921,0.1957526206970214,-0.1141411662101745,3.46
12,13,1039.0,1002.0,1,3,23.07692307692308,,0.02548,-0.5769238471984863,0.1740176826715469,-0.1144442409276962,6.37
13,14,1054.0,1144.0,0,3,21.428571428571427,,0.0116104868913857,-0.7073181867599487,0.111632689833641,-0.2420264035463333,3.1
14,15,1182.0,1173.0,1,4,26.666666666666668,,0.0213684210526315,-0.7180185317993164,0.1229797601699829,-0.2360295057296753,6.09
15,16,1237.0,1275.0,0,4,25.0,,0.0119471947194719,-0.6546361446380615,0.1461663693189621,-0.1811517030000686,3.62
16,17,1301.0,1368.0,0,4,23.52941176470588,,0.00415625,-0.7069188356399536,0.0867565497756004,-0.2667028605937958,1.33
17,18,1332.0,1494.0,0,4,22.22222222222222,,-0.004807121661721,-0.6545292139053345,0.1062922850251197,-0.220972329378128,-1.62
18,19,1464.0,1519.0,0,4,21.052631578947366,,0.0040845070422535,-0.7520855665206909,0.0764439031481742,-0.2995988726615906,1.4500000000000002
19,20,1487.0,1653.0,0,4,20.0,,-0.0042455242966751,-0.7471997737884521,0.1063240095973014,-0.267275869846344,-1.66
20,21,1526.0,1771.0,0,4,19.047619047619047,,-0.010906862745098,-0.6223174929618835,0.0834248512983322,-0.2277338951826095,-4.45
21,22,1608.0,1846.0,0,4,18.181818181818183,,-0.0055868544600938,-0.7798489332199097,0.3080702424049377,-0.081854224205017,-2.3800000000000003
22,23,1693.0,1918.0,0,4,17.391304347826086,,-0.0005643340857787,-0.7491744160652161,0.0496597774326801,-0.324927419424057,-0.2500000000000004
23,24,1733.0,2035.0,0,4,16.666666666666664,,-0.0065652173913043,-0.7159695029258728,0.1389264315366745,-0.2190583199262619,-3.0200000000000005
24,25,1785.0,2140.0,0,4,16.0,,-0.0116352201257861,-0.6836391091346741,0.2250279486179351,-0.1167916059494018,-5.550000000000001
25,26,1860.0,2222.0,0,4,15.384615384615383,,-0.0154251012145749,-0.7481130957603455,0.1076735332608223,-0.266383022069931,-7.620000000000001
26,27,1898.0,2341.0,0,4,14.814814814814811,,-0.0204109589041095,-0.8739392757415771,0.10260970890522,-0.3343599438667297,-10.43
27,28,1920.0,2476.0,0,4,14.285714285714285,,-0.025633270321361,-0.8429576754570007,0.0238686855882406,-0.3976101577281952,-13.560000000000002
28,29,1972.0,2581.0,0,4,13.79310344827586,,-0.0294688644688644,-0.7131973505020142,0.0240760166198015,-0.3325226604938507,-16.090000000000003
29,30,2029.0,2681.0,0,4,13.333333333333334,,-0.0318213058419244,-0.7475945949554443,0.149335891008377,-0.2244614064693451,-18.520000000000003
30,31,2115.0,2752.0,0,4,12.903225806451612,,-0.0273288814691152,-0.5922713875770569,0.102332666516304,-0.1938030272722244,-16.370000000000005
31,32,2172.0,2852.0,0,4,12.5,,-0.0305194805194805,-0.6210004687309265,0.0747942477464675,-0.2357059866189956,-18.800000000000004
32,33,2206.0,2975.0,0,4,12.12121212121212,,-0.0342654028436019,-0.6857762336730957,0.0435340851545333,-0.2993540167808532,-21.690000000000005
33,34,2206.0,3132.0,0,4,11.76470588235294,,-0.0388615384615384,-0.77857506275177,0.058183804154396,-0.3311037421226501,-25.260000000000005
34,35,2282.0,3213.0,0,4,11.428571428571429,,-0.0408832335329341,-0.8117669224739075,0.0806731134653091,-0.3252103328704834,-27.31000000000001
35,36,2353.0,3299.0,0,4,11.11111111111111,,-0.043007299270073,-0.5502961874008179,0.1534033119678497,-0.1217447817325592,-29.460000000000004
36,37,2435.0,3374.0,0,4,10.81081081081081,,-0.0389615931721194,-0.7717363834381104,0.0405873358249664,-0.3452808558940887,-27.390000000000004
37,38,2491.0,3475.0,0,4,10.526315789473683,,-0.0414444444444444,-0.7789598703384399,0.107920117676258,-0.2815598249435425,-29.840000000000003
38,39,2545.0,3578.0,0,4,10.256410256410255,,-0.0438670284938941,-0.7497745752334595,0.0560410246253013,-0.3188462555408478,-32.330000000000005
39,40,2615.0,3665.0,0,4,10.0,,-0.0446313065976714,-0.6846474409103394,0.3878824412822723,0.0455587208271026,-34.50000000000001
40,41,2615.0,3822.0,0,4,9.75609756097561,,-0.0481289506953223,-0.8702578544616699,0.0232030991464853,-0.4119258224964142,-38.07000000000001
41,42,2669.0,3925.0,0,4,9.523809523809524,,-0.0501359703337453,-0.718146026134491,0.0293570719659328,-0.3297159373760223,-40.56000000000001
42,43,2741.0,4010.0,0,4,9.30232558139535,,-0.0516203143893591,-0.6250803470611572,0.1564983427524566,-0.1560418307781219,-42.69000000000001
43,44,2785.0,4123.0,0,4,9.090909090909092,,-0.0537677725118483,-0.7047135233879089,0.080090545117855,-0.2722662091255188,-45.38000000000001
44,45,2909.0,4156.0,0,4,8.88888888888889,,-0.0492691415313225,-0.7804334163665771,0.0445258952677249,-0.3456908166408539,-42.47000000000001
45,46,2990.0,4232.0,0,4,8.695652173913043,,-0.0459840728100113,-0.7815565466880798,0.0198022834956645,-0.3709760010242462,-40.420000000000016
46,47,3026.0,4353.0,0,4,8.51063829787234,,-0.0482385730211817,-0.841264009475708,0.0481756217777729,-0.3724563717842102,-43.27000000000002
47,48,3061.0,4475.0,0,4,8.333333333333332,,-0.0504814004376367,-0.7795769572257996,0.0536847747862339,-0.3361037075519562,-46.140000000000015
48,49,3105.0,4588.0,0,4,8.16326530612245,,-0.0524489795918367,-0.7664008140563965,0.0175842475146055,-0.3656161725521087,-48.83000000000001
49,50,3200.0,4650.0,0,4,8.0,,-0.0480868665977249,-0.812128484249115,0.0256539806723594,-0.3804102540016174,-46.500000000000014
50,1,93.0,64.0,1,1,100.0,,0.1272222222222222,,,,2.29
51,2,99.0,215.0,0,1,50.0,,-0.0331428571428571,-0.450582891702652,0.3357513546943664,0.1104599088430404,-1.16
52,3,149.0,322.0,0,1,33.33333333333333,,-0.0717307692307692,-0.465812623500824,0.2301916629076004,-0.0027146488428115,-3.73
53,4,153.0,475.0,0,1,25.0,,-0.1046376811594202,-0.6200883984565735,0.0734819620847702,-0.2365622371435165,-7.220000000000001
54,5,219.0,566.0,0,1,20.0,,-0.1101162790697674,-0.7181012034416199,0.061631940305233,-0.2974186539649963,-9.47
55,6,337.0,605.0,0,1,16.666666666666664,,-0.0642307692307692,-0.5330097675323486,0.1988266110420227,-0.0676782727241516,-6.680000000000001
56,7,437.0,662.0,0,1,14.285714285714285,,-0.0351239669421487,-0.6557885408401489,0.1224181205034256,-0.2054761499166488,-4.25
57,8,517.0,739.0,0,1,12.5,,-0.0160869565217391,-0.7086701393127441,0.2014262080192566,-0.1529088616371154,-2.22
58,9,595.0,818.0,0,1,11.11111111111111,,-0.0271153846153846,-0.6654322147369385,0.3139957785606384,-0.0187203288078308,-4.23
59,10,638.0,932.0,0,1,10.0,,-0.0361458333333333,-0.5831231474876404,0.1778108328580856,-0.1137507408857345,-6.94
60,11,638.0,1089.0,0,1,9.090909090909092,,-0.0502870813397129,-0.6585869789123535,0.364801824092865,0.0355083346366882,-10.510000000000002
61,12,775.0,1109.0,0,1,8.333333333333332,,-0.0323348017621145,-0.6865062117576599,0.0547331310808658,-0.2885199785232544,-7.340000000000002
62,13,872.0,1169.0,0,1,7.6923076923076925,,-0.0202857142857142,-0.620754599571228,0.0571157522499561,-0.253261536359787,-4.9700000000000015
63,14,975.0,1223.0,0,1,7.142857142857142,,-0.0094296577946768,-0.5904307961463928,0.1562741100788116,-0.1389412879943847,-2.4800000000000013
64,15,1006.0,1349.0,0,1,6.666666666666667,,-0.0193928571428571,-0.651513397693634,0.0798374190926551,-0.2459192872047424,-5.4300000000000015
65,16,1102.0,1410.0,0,1,6.25,,-0.0103703703703703,-0.5307943820953369,0.2124821841716766,-0.0529150068759918,-3.0800000000000014
66,17,1137.0,1532.0,0,1,5.88235294117647,,-0.0188888888888888,-0.5614913105964661,0.0156913865357637,-0.2650542557239532,-5.950000000000001
67,18,1266.0,1560.0,0,1,5.555555555555555,,-0.0088288288288288,-0.561477541923523,0.1217172369360923,-0.1590215265750885,-2.9400000000000013
68,19,1374.0,1609.0,0,1,5.263157894736842,,-0.001,-0.6549044251441956,0.0365074947476387,-0.2909447252750397,-0.3500000000000014
69,20,1413.0,1727.0,0,1,5.0,,-0.0081347150259067,-0.6434458494186401,0.0642545670270919,-0.2574683427810669,-3.140000000000001
70,21,1466.0,1831.0,0,1,4.761904761904762,,-0.0139851485148514,-0.7175801396369934,0.0589363723993301,-0.2998536825180053,-5.650000000000001
71,22,1576.0,1878.0,0,1,4.545454545454546,,-0.0071563981042654,-0.7173818349838257,0.0520625300705432,-0.3066283762454986,-3.0200000000000014
72,23,1643.0,1968.0,0,1,4.3478260869565215,,-0.0119318181818181,-0.5929707288742065,0.0909191519021987,-0.2055662125349044,-5.250000000000002
73,24,1706.0,2062.0,0,1,4.166666666666666,,-0.016542669584245,-0.683917224407196,0.0588389188051223,-0.2831196784973144,-7.560000000000002
74,25,1766.0,2159.0,0,1,4.0,,-0.0209493670886076,-0.6866399049758911,0.14019675552845,-0.2031231969594955,-9.930000000000003
75,26,1818.0,2264.0,0,1,3.8461538461538463,,-0.025376782077393,-0.7761309146881104,0.0463020466268062,-0.3417634069919586,-12.460000000000004
76,27,1850.0,2389.0,0,1,3.7037037037037033,,-0.0302952755905511,-0.809792697429657,0.0870933234691619,-0.3178030252456665,-15.390000000000004
77,28,1982.0,2414.0,0,1,3.571428571428571,,-0.0234220532319391,-0.8066694140434265,0.3416143655776977,-0.0617203414440155,-12.320000000000004
78,29,2019.0,2534.0,0,1,3.4482758620689653,,-0.0278492647058823,-0.7168706655502319,0.0554201863706111,-0.3030151426792145,-15.150000000000004
79,30,2155.0,2555.0,0,1,3.333333333333333,,-0.0206896551724138,-0.842350423336029,0.0635226964950561,-0.3576525151729584,-12.000000000000004
80,31,2162.0,2705.0,0,1,3.225806451612903,,-0.0258458961474036,-0.8427978754043579,0.0709564834833145,-0.3504424691200256,-15.430000000000003
81,32,2186.0,2838.0,0,1,3.125,,-0.0301628664495114,-0.7796076536178589,0.0241662338376045,-0.3656376004219055,-18.520000000000003
82,33,2271.0,2910.0,0,1,3.0303030303030303,,-0.0259335443037974,-0.7477952241897583,0.0212308578193187,-0.3526667654514313,-16.390000000000004
83,34,2337.0,3001.0,0,1,2.941176470588235,,-0.0287211093990755,-0.7569881677627563,0.0286567937582731,-0.3498373031616211,-18.640000000000004
84,35,2410.0,3085.0,0,1,2.857142857142857,,-0.0311561561561561,-0.7793939113616943,0.0246978364884853,-0.3649991154670715,-20.750000000000004
85,36,2470.0,3182.0,0,1,2.7777777777777777,,-0.0338506588579795,-0.8675387501716614,0.0449849367141723,-0.3887844383716583,-23.120000000000005
86,37,2513.0,3296.0,0,1,2.702702702702702,,-0.0368473609129814,-0.8403070569038391,0.0429047681391239,-0.3772487640380859,-25.830000000000005
87,38,2572.0,3394.0,0,1,2.631578947368421,,-0.0392489568845619,-0.7797449827194214,0.0350338742136955,-0.3548386096954345,-28.22000000000001
88,39,2633.0,3490.0,0,1,2.564102564102564,,-0.0414789687924016,-0.8743988275527954,0.0651049986481666,-0.3720944225788116,-30.570000000000007
89,40,2701.0,3579.0,0,1,2.5,,-0.0424062095730918,-0.7223192453384399,0.0142535120248794,-0.3469061255455017,-32.78000000000001
90,41,2701.0,3736.0,0,1,2.4390243902439024,,-0.0460126582278481,-0.7802108526229858,0.0873483717441558,-0.302757054567337,-36.35000000000001
91,42,2833.0,3761.0,0,1,2.380952380952381,,-0.0411881188118812,-0.841422438621521,0.0105515783652663,-0.4101596474647522,-33.28000000000001
92,43,2868.0,3883.0,0,1,2.3255813953488373,,-0.0438181818181818,-0.8431697487831116,0.0178155992180109,-0.4037692844867706,-36.150000000000006
93,44,2904.0,4004.0,0,1,2.272727272727273,,-0.0462633451957295,-0.8732767105102539,0.0163627676665782,-0.4202755987644195,-39.00000000000001
94,45,3022.0,4043.0,0,1,2.2222222222222223,,-0.0420557491289198,-0.8123483061790466,0.0662951096892356,-0.339879035949707,-36.21000000000001
95,46,3060.0,4162.0,0,1,2.1739130434782608,,-0.0444419134396355,-0.7478440403938293,0.0442080721259117,-0.3297139406204223,-39.02000000000001
96,47,3128.0,4251.0,0,1,2.127659574468085,,-0.0460670391061452,-0.6871976852416992,0.0096404058858752,-0.3339584469795227,-41.23000000000001
97,48,3177.0,4359.0,0,1,2.083333333333333,,-0.0479956188389923,-0.9356973171234132,0.0567469708621501,-0.4111016988754272,-43.82000000000001
98,49,3252.0,4441.0,0,1,2.0408163265306123,,-0.0492910848549946,-0.8428616523742676,0.0314190909266471,-0.390011727809906,-45.89000000000001
99,50,3348.0,4502.0,0,1,2.0,,-0.0450258531540848,-0.705234706401825,0.1075588315725326,-0.2450585216283798,-43.540000000000006
100,1,55.0,102.0,0,0,0.0,,-0.1372222222222222,,,,-2.47
101,2,158.0,156.0,1,1,50.0,,0.0005555555555555,-0.5759871006011963,1.0489972829818726,0.7610037326812744,0.0200000000000004
102,3,238.0,233.0,1,2,66.66666666666666,,0.0386792452830188,-0.6770908832550049,0.7147755026817322,0.3762300610542297,2.0500000000000003
103,4,316.0,312.0,1,3,75.0,,0.0005633802816901,-0.6712266206741333,0.2880224883556366,-0.04759082198143,0.0400000000000004
104,5,386.0,399.0,0,3,60.0,,-0.0239325842696629,-0.612101137638092,0.1895370483398437,-0.1165135204792022,-2.1299999999999994
105,6,457.0,485.0,0,3,50.0,,-0.040377358490566,-0.7699686884880066,0.1325248479843139,-0.2524594962596893,-4.279999999999999
106,7,484.0,615.0,0,3,42.85714285714285,,-0.0589516129032258,-0.6521347761154175,0.0805696323513984,-0.2454977631568908,-7.31
107,8,576.0,680.0,0,3,37.5,,-0.0354929577464788,-0.6486433148384094,0.0984518975019455,-0.2258697599172592,-5.039999999999999
108,9,622.0,791.0,0,3,33.33333333333333,,-0.0483647798742138,-0.7531611919403076,0.1139184385538101,-0.2626621723175049,-7.689999999999999
109,10,729.0,841.0,0,3,30.0,,-0.0262564102564102,-0.5804796814918518,0.1733779907226562,-0.1168618500232696,-5.119999999999999
110,11,729.0,998.0,0,3,27.27272727272727,,-0.0407981220657277,-0.5885385274887085,0.2000239491462707,-0.0942453145980835,-8.69
111,12,775.0,1109.0,0,3,25.0,,-0.0493043478260869,-0.6701164841651917,0.082233726978302,-0.2528245151042938,-11.34
112,13,932.0,1109.0,0,3,23.07692307692308,,-0.0313306451612903,-0.5922112464904785,0.1707443594932556,-0.1253612637519836,-7.77
113,14,936.0,1262.0,0,3,21.428571428571427,,-0.0424905660377358,-0.6859133243560791,0.0840246453881263,-0.2589320242404938,-11.26
114,15,971.0,1384.0,0,3,20.0,,-0.0501063829787234,-0.6539998054504395,0.1333438009023666,-0.1936561018228531,-14.13
115,16,1052.0,1460.0,0,3,18.75,,-0.0402666666666666,-0.6199299097061157,0.1448196768760681,-0.1651452779769897,-12.079999999999998
116,17,1132.0,1537.0,0,3,17.647058823529413,,-0.0317034700315457,-0.6834483742713928,0.2700870931148529,-0.0716370940208435,-10.05
117,18,1172.0,1654.0,0,3,16.666666666666664,,-0.0383832335329341,-0.5923323035240173,0.0772858262062072,-0.2188803255558014,-12.82
118,19,1281.0,1702.0,0,3,15.789473684210526,,-0.0290056818181818,-0.5895480513572693,0.2958701252937317,0.001096099615097,-10.21
119,20,1340.0,1800.0,0,3,15.0,,-0.0324742268041237,-0.6523635983467102,0.0697047710418701,-0.256477028131485,-12.6
120,21,1340.0,1957.0,0,3,14.285714285714285,,-0.0398275862068965,-0.6377045512199402,0.1032047718763351,-0.2156475037336349,-16.17
121,22,1371.0,2083.0,0,3,13.636363636363637,,-0.0452009456264775,-0.7058098316192627,0.1238006949424743,-0.2291042208671569,-19.12
122,23,1386.0,2225.0,0,3,13.043478260869565,,-0.0507709750566893,-0.6546700596809387,0.0827974677085876,-0.2445375621318817,-22.39
123,24,1460.0,2308.0,0,3,12.5,,-0.0534497816593886,-0.7473440766334534,0.07462028414011,-0.2990517616271972,-24.48
124,25,1575.0,2350.0,0,3,12.0,,-0.0456932773109243,-0.8094572424888611,0.0475515648722648,-0.3571770489215851,-21.75
125,26,1642.0,2440.0,0,3,11.538461538461538,,-0.0485425101214574,-0.7492107152938843,0.0518994703888893,-0.3227058947086334,-23.98
126,27,1748.0,2491.0,0,3,11.11111111111111,,-0.04185546875,-0.6842776536941528,0.0668123811483383,-0.2753264307975769,-21.43
127,28,1826.0,2570.0,0,3,10.714285714285714,,-0.0442264150943396,-0.5946410894393921,0.0600093752145767,-0.2373111695051193,-23.44
128,29,1894.0,2659.0,0,3,10.344827586206897,,-0.0468921389396709,-0.7785611152648926,0.0535164028406143,-0.3357641696929931,-25.65
129,30,1966.0,2744.0,0,3,10.0,,-0.0476500857632933,-0.7174956202507019,0.0449696145951747,-0.3137781918048858,-27.78
130,31,2106.0,2761.0,0,3,9.67741935483871,,-0.0408485856905158,-0.7737966179847717,0.0324584431946277,-0.3544398546218872,-24.55
131,32,2131.0,2893.0,0,3,9.375,,-0.0446925566343042,-0.6857837438583374,0.0119072515517473,-0.3309846222400665,-27.62
132,33,2208.0,2973.0,0,3,9.090909090909092,,-0.0466194968553459,-0.6798993349075317,0.1392799466848373,-0.2006697207689285,-29.65
133,34,2208.0,3130.0,0,3,8.823529411764707,,-0.0508728943338437,-0.5272815823554993,0.0680364072322845,-0.1956043839454651,-33.22
134,35,2278.0,3217.0,0,3,8.571428571428571,,-0.052820895522388,-0.7787832021713257,0.0847681909799575,-0.3046234250068664,-35.39
135,36,2366.0,3286.0,0,3,8.333333333333332,,-0.0483260553129548,-0.8729010224342346,0.0822624564170837,-0.3541880548000335,-33.2
